,,,,,,
Area,ID,Test step,How to verify (brief),Pass Phone A,Pass Phone B,Notes
Setup,0,Use the same build type you trust for release,If you use Expo Go: both phones on same Expo Go + same LAN or tunnel. If you use a dev client: same dev build on both. Final F&F build is TestFlight after Apple approves.,,,
Setup,1,Two distinct accounts,Phone A and Phone B signed into different Firebase/Apple users for couple flows.,Yes,Yes,
Beta review timing (reference),BR,External TestFlight (F&F),Apple Beta App Review is often same day to ~2 business days; first submission can take longer. You cannot rely on external installs until status leaves Waiting for Review.,N/A,N/A,Not a test row
Auth & account,A1,Sign up (new user),Create account on Phone B; lands in profile/onboarding as expected.,Yes,Yes,
Auth & account,A2,Sign in (existing user),Sign out Phone A; sign back in; reaches main app without crash.,Yes,Yes,
Auth & account,A3,Profile / display name,Account or profile shows correct name/photo after edit if applicable.,Yes,Yes,
Auth & account,A4,Sign out then sign in,Couple pairing state still correct (not wiped) after re-login per your design.,Yes,Yes,
Onboarding & pairing,P1,Onboarding when unpaired,Unpaired user sees onboarding; can complete steps without crash.,,,
Onboarding & pairing,P2,Generate or share pair code,Invite/code visible and copyable where your UI provides it.,,,
Onboarding & pairing,P3,Pair from second device,Phone B accepts pair; both show paired state within reasonable time.,,,
Onboarding & pairing,P4,Partner name / nicknames,Home or Together shows partner identity as expected on both devices.,,,
Home & navigation,H1,Home tab loads,Home shows banners cards partner info; no blank screen.,,,
Home & navigation,H2,Love quote modal (if shown),Dismiss Close and optional Do not show again today works.,,,
Home & navigation,H3,Header index (grid icon),Opens feature index; tapping items navigates to Mood Snap Chat Rituals Tasks Together Growth Settings.,,,
Home & navigation,H4,Tab bar,Home Together Snap Chat Settings visible and switch correctly.,,,
Together,T1,Together hub,Hub loads; links to sub-features work.,,,
Together,T2,Wish Jar,Open add wish if applicable; data persists after leaving screen.,,,
Together,T3,Our Trips Together,List loads; add or edit trip flows without crash.,,,
Together,T4,Travel map,Map loads; pins or memories behave as designed.,,,
Together,T5,Update trip,Photo location fields save; partner sees update after sync.,,,
Together,T6,Countdown Together,Create or view countdown; shows correct target date.,,,
Together,T7,Shared journal (Our Journal),Entries create edit read; visible to partner when expected.,,,
Together,T8,Couple goals,Add toggle or complete goals; sync across devices if shared.,,,
Together,T9,Together sync banner,If you show last edited / sync messaging verify it updates after edits.,,,
Snap,S1,Snap hub,Hub loads all snap sub-entries.,,,
Snap,S2,Daily Snap,Capture or pick photo upload; partner can open view same day entry.,,,
Snap,S3,Weekly Collage,Generate or view collage path works.,,,
Snap,S4,Quarterly Memory Video,Flow runs export or preview without crash.,,,
Snap,S5,Memory Map,Map and memories with location behave; permission prompts OK.,,,
Snap,S6,Photo Drop,Send or receive photo drop between partners.,,,
Chat,C1,Chat thread,Send message from A; appears on B (and reverse).,,,
Chat,C2,Scroll and composer,Long thread scrolls; keyboard does not cover input badly.,,,
Rituals,R1,Rituals hub,All ritual tiles open.,,,
Rituals,R2,Daily Dare,Complete dare flow save state.,,,
Rituals,R3,Question of the Day,Answer submit see partner answer if applicable.,,,
Rituals,R4,Night Note,Add note image if applicable saves.,,,
Rituals,R5,Streak Board,Streaks display plausibly after ritual use.,,,
Tasks,K1,Couple tasks,Add complete reorder tasks sync between phones if shared.,,,
Mood,M1,Mood hub,Five cards navigate to Heartbeat Nudge Soft Location Shared Sky Mood Sync.,,,
Mood,M2,Heartbeat Share,Tap hold interaction works both phones if paired feature.,,,
Mood,M3,Nudge,Send receive nudge between devices if applicable.,,,
Mood,M4,Soft Location,Set fuzzy zone permission flow OK.,,,
Mood,M5,Shared Sky,Weather daylight comparison loads.,,,
Mood,M6,Mood Sync,Set mood see reflection on partner device if designed.,,,
Growth,G1,Growth screen,Share buttons open share sheet without crash.,,,
Settings,S1,Settings screen,Theme notifications toggles save after app restart.,,,
Settings,S2,Open Account from settings or profile path,Account screen loads sign out available.,,,
Settings,S3,Permissions,Camera photos location notifications each requested only when needed and app recovers if denied.,,,
Push & deep links,N1,Notification permission,Accept prompts on both devices.,,,
Push & deep links,N2,Trigger a real push (if possible),Partner action sends push; tapping opens correct screen.,,,
Push & deep links,N3,Foreground behavior,Notification does not break UI when app already open.,,,
Resilience,X1,Background resume,Send app to background 30s resume still paired data fresh.,,,
Resilience,X2,Airplane mode toggle,Brief offline then online app recovers without stuck spinner.,,,
Resilience,X3,Kill app cold start,Force quit reopen still signed in state correct.,,,
Release readiness,R1,No PII in screenshots,If you share screen recordings for support blur emails codes.,,,
Release readiness,R2,Match TestFlight binary,Final sanity on TestFlight build 1.0.0 (1) after external review not only Expo Go if they differ.,,,
