Respondent ID,Date,Area,Question,Score or choice (1-5 Y/N N/A),Notes (free text)
,,Instructions,Duplicate one block per tester. One row = one answer. Paste a new Respondent ID for each person.,,
,,Context,First rows per tester: device iOS build minutes spent.,,
TEMPLATE,,Context,Device model,,
TEMPLATE,,Context,iOS version,,
TEMPLATE,,Context,TestFlight build number,,
TEMPLATE,,Context,Minutes in app,,
TEMPLATE,,Overall,First impression in one sentence,,
TEMPLATE,,Overall,Ease of use,,
TEMPLATE,,Overall,Visual design,,
TEMPLATE,,Overall,Feels made for couples,,
TEMPLATE,,Overall,Performance,,
TEMPLATE,,Overall,Most delightful moment,,
TEMPLATE,,Overall,Most confusing moment,,
TEMPLATE,,Pairing,Onboarding and couple code clarity,,
TEMPLATE,,Home,Home tab usefulness,,
TEMPLATE,,Mood,Tried mood hub Y/N then usefulness,,
TEMPLATE,,Mood,Could you relate to mood prompts,,
TEMPLATE,,Chat,Tried chat usefulness,,
TEMPLATE,,Chat,Photo or voice note quality if tried,,
TEMPLATE,,Tasks,Tried tasks clarity and fit to real life,,
TEMPLATE,,Rituals,Tried rituals enjoyment,,
TEMPLATE,,Rituals,Emotional relatability,,
TEMPLATE,,Rituals,Favorite ritual name,,
TEMPLATE,,Rituals,Tone too cheesy vs just right,,
TEMPLATE,,Together,Tried together hub usefulness,,
TEMPLATE,,Together,Trips and map with photos and location,,
TEMPLATE,,Snap,Tried daily snap camera and filters,,
TEMPLATE,,Snap,One photo per day concept for partner,,
TEMPLATE,,Privacy,Comfort sharing photos and couple data,,
TEMPLATE,,Notifications,Helpful vs noisy,,
TEMPLATE,,Trust,Comfort continuing with partner shared data model,,
TEMPLATE,,Stability,Any crash Y/N describe,,
TEMPLATE,,Recommendation,NPS 0 to 10 recommend to friend,,
TEMPLATE,,Monetization,Willing to pay later Yes Maybe No,,
TEMPLATE,,Product,Top three improvements,,
TEMPLATE,,Product,One feature to remove or merge,,
TEMPLATE,,Product,One missing feature you wish existed,,
TEMPLATE,,Inclusion,Cultural or language gaps noticed,,
TEMPLATE,,Accessibility,Text contrast motion VoiceOver issues,,
TEMPLATE,,Open,Anything else,,
