Category,Try this,Works (Yes/No/Partial),What went wrong or idea?,Device model,iOS version
Account,Create account / sign up,,,,
Account,Sign in after closing app,,,,
Account,Sign out and sign in again (data feels right?),,,,
Pairing,Enter or confirm couple code with partner,,,,
Pairing,Partner name and photo look correct on Home,,,,
Home,Together / days counter shows as expected,,,,
Home,Change living status (together vs long distance),,,,
Mood,Set and view mood sync,,,,
Chat,Send a text message,,,,
Chat,Send a photo or voice (if you use them),,,,
Rituals,Open a ritual flow (e.g. Night Note or dare),,,,
Together,Add or view a trip pin,,,,
Snaps,Daily snap or photo flow (if you use it),,,,
Notifications,Allow notifications — any prompt arrives when expected?,,,,
Performance,Any screen feel slow or frozen?,,,,
Crashes,Did the app crash? When?,,,,
Overall,One thing you loved,,,,
Overall,One thing to fix first,,,,
Overall,Would you use this weekly? (Yes/Maybe/No),,,,
